month,sentiment
1995-05,0.24878999999999998
1995-06,0.24865555555555552
1995-07,0.24889999999999998
1995-08,0.24878999999999998
1995-09,0.24878999999999998
1995-10,0.24878999999999998
1995-11,0.24878999999999998
1995-12,0.3430333333333333
1996-01,0.17168181818181816
1996-02,0.24878999999999998
1996-03,0.24878999999999998
1996-04,0.24878999999999998
1996-05,0.24878999999999998
1996-06,0.24878999999999998
1996-07,0.24878999999999998
1996-08,0.25363749999999996
1996-09,0.22617272727272725
1996-10,0.18436666666666668
1996-11,0.3175222222222222
1996-12,0.24878999999999998
1997-01,0.24878999999999998
1997-02,0.24878999999999998
1997-03,0.2764333333333333
1997-04,0.19612
1997-05,0.24878999999999998
1997-06,0.24878999999999998
1997-07,0.24878999999999998
1997-08,0.24878999999999998
1997-09,0.24878999999999998
