week,sentiment
1981-11-23/1981-11-29,-0.13898333333333335
1981-11-30/1981-12-06,0.4010333333333333
1981-12-07/1981-12-13,0.027349999999999985
1981-12-14/1981-12-20,0.10241111111111109
1981-12-21/1981-12-27,0.18813333333333335
1981-12-28/1982-01-03,0.6880375
1982-01-04/1982-01-10,0.25
1982-01-11/1982-01-17,0.07022499999999998
1982-01-18/1982-01-24,-0.5574
1982-01-25/1982-01-31,0.49274999999999997
1982-02-01/1982-02-07,0.57955
1982-02-08/1982-02-14,0.49274999999999997
1982-02-15/1982-02-21,0.5000333333333333
1982-02-22/1982-02-28,-0.3856
1982-03-01/1982-03-07,0.049624999999999975
1982-03-08/1982-03-14,0.5609
1982-03-15/1982-03-21,0.3058666666666667
1982-03-29/1982-04-04,0.25
1982-04-05/1982-04-11,0.05046666666666666
1982-04-19/1982-04-25,0.12869999999999995
1982-04-26/1982-05-02,0.48760000000000003
1982-05-03/1982-05-09,0.4588
1982-05-10/1982-05-16,-0.5784
1982-05-17/1982-05-23,0.3167666666666667
1982-05-24/1982-05-30,0.6046999999999999
1982-05-31/1982-06-06,0.03803333333333333
1982-06-07/1982-06-13,0.3863666666666667
1982-06-14/1982-06-20,0.67765
1982-06-28/1982-07-04,-0.07030000000000003
1982-07-05/1982-07-11,0.21122499999999997
1982-07-12/1982-07-18,0.22383333333333333
1982-07-19/1982-07-25,0.1356
1982-07-26/1982-08-01,0.7003
1982-08-02/1982-08-08,0.38434999999999997
1982-08-09/1982-08-15,0.14269999999999997
1982-08-16/1982-08-22,0.4215
1982-08-30/1982-09-05,0.050449999999999995
1982-09-13/1982-09-19,0.5609
1982-09-20/1982-09-26,0.3058666666666667
1982-09-27/1982-10-03,0.08969999999999997
1982-10-04/1982-10-10,0.202425
1982-10-11/1982-10-17,0.13026666666666664
1982-10-25/1982-10-31,0.4291333333333333
1982-11-01/1982-11-07,0.3595333333333333
1982-11-08/1982-11-14,-0.06795000000000001
1982-11-15/1982-11-21,0.49274999999999997
1982-11-22/1982-11-28,0.57955
1982-11-29/1982-12-05,0.0936333333333333
1982-12-06/1982-12-12,0.17373333333333332
1982-12-13/1982-12-19,0.49274999999999997
1982-12-20/1982-12-26,0.0
1982-12-27/1983-01-02,0.050449999999999995
1983-01-03/1983-01-09,0.04763333333333334
1983-01-10/1983-01-16,-0.07030000000000003
1983-01-17/1983-01-23,0.3544
1983-01-24/1983-01-30,0.5922666666666666
1983-01-31/1983-02-06,0.4588
1983-02-07/1983-02-13,-0.2787
1983-02-14/1983-02-20,0.5000333333333333
1983-02-21/1983-02-27,0.5619333333333333
1983-02-28/1983-03-06,0.022149999999999975
1983-03-14/1983-03-20,-0.2787
1983-03-21/1983-03-27,0.47515
1983-03-28/1983-04-03,0.47409999999999997
1983-04-04/1983-04-10,0.7644500000000001
1983-04-11/1983-04-17,0.21898
1983-04-18/1983-04-24,0.21075
1983-05-02/1983-05-08,0.0
1983-05-09/1983-05-15,0.12006666666666665
1983-05-16/1983-05-22,0.6134999999999999
1983-05-23/1983-05-29,0.21689999999999998
1983-05-30/1983-06-05,0.25
1983-06-06/1983-06-12,0.4588
1983-06-13/1983-06-19,0.10702499999999998
1983-06-20/1983-06-26,0.30983333333333335
1983-06-27/1983-07-03,0.4215
1983-07-04/1983-07-10,0.38835
1983-07-11/1983-07-17,0.21075
1983-07-18/1983-07-24,0.4588
1983-07-25/1983-07-31,0.16618
1983-08-01/1983-08-07,-0.5574
1983-08-08/1983-08-14,0.8286
1983-08-15/1983-08-21,0.33575
1983-08-22/1983-08-28,-0.024233333333333367
1983-08-29/1983-09-04,0.2919
1983-09-05/1983-09-11,0.4588
1983-09-12/1983-09-18,-0.5574
1983-09-19/1983-09-25,0.303675
1983-09-26/1983-10-02,0.5609
1983-10-03/1983-10-09,-0.17470000000000002
1983-10-10/1983-10-16,0.49274999999999997
1983-10-17/1983-10-23,0.4215
1983-10-24/1983-10-30,-0.04930000000000001
1983-10-31/1983-11-06,-0.1858
1983-11-07/1983-11-13,0.03646666666666665
1983-11-14/1983-11-20,0.4588
1983-11-21/1983-11-27,0.62505
1983-11-28/1983-12-04,0.11937999999999997
1983-12-05/1983-12-11,0.44015
1983-12-12/1983-12-18,0.4143
1983-12-19/1983-12-25,0.4697
1984-01-02/1984-01-08,0.03803333333333333
1984-01-09/1984-01-15,0.5619333333333333
1984-01-16/1984-01-22,0.172
1984-01-30/1984-02-05,0.49274999999999997
